,chemical_formula,smiles,casnum,molecular_weight,species,fish_LC50,units,source
151,C8H6ClNO3,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,5465-65-6,199.5911407470703,fish,1.7047480922384253,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
152,C8H6Cl2O,CC(=O)c1ccc(Cl)cc1Cl,2234-16-4,189.03863525390625,fish,2.4595888418037104,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
153,C8H8O2,CC(=O)c1ccc(O)cc1,99-93-4,136.14791870117188,fish,4.034240638152395,log(mg/L),ECHA
154,C14H10Cl2O2,CC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1Cl,119851-28-4,281.13400268554693,fish,0.4054651081081644,log(mg/L),ECHA
155,C12H10O,CC(=O)c1ccc2ccccc2c1,93-08-3,170.2071990966797,fish,1.6094379124341003,log(mg/L),ECHA
156,C8H9NO,CC(=O)c1cccc(N)c1,99-03-6,135.16316223144528,fish,5.945420608606575,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
157,C8H8O2,CC(=O)c1cccc(O)c1,121-71-1,136.14791870117188,fish,4.605170185988092,log(mg/L),ECHA
158,C8H8O,CC(=O)c1ccccc1,98-86-2,120.14852142333984,fish,5.087596335232384,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
159,C8H8O2,CC(=O)c1ccccc1O,118934,136.14791870117188,fish,4.74493212836325,log(mg/L),ECOTOX
160,C7H9NO,CC(=O)c1cccn1C,932-16-1,123.1524658203125,fish,5.056245805348308,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
161,C7H7NO,CC(=O)c1ccncc1,1122-54-9,121.13658142089844,fish,5.123963979403259,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
162,C2H3BrO,CC(=O)Br,506-96-7,122.94862365722656,fish,3.703768066607687,log(mg/L),"ECOTOX, Literature set"
163,C11H17N3O2,CC(C(NCCN)c1ccccc1)[N+](=O)[O-],14762-38-0,223.2715759277344,fish,0.9783261227936078,log(mg/L),ECOTOX
164,C14H16ClN3O2,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,43121-43-3,293.7487487792969,fish,2.3513752571634776,log(mg/L),Literature set
165,C14H14O3,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,83261,230.25917053222656,fish,-0.0998203352822109,log(mg/L),ECOTOX
166,C5H9ClO,CC(C)(C)C(=O)Cl,3282-30-2,120.57736206054688,fish,5.659482215759621,log(mg/L),ECHA
167,C16H22ClN3O,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,107534963,307.8183898925781,fish,2.1186622548331173,log(mg/L),"ECOTOX, EFSA, VEGA, Literature set"
168,C14H18ClN3O2,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,55219-65-3,295.7646179199219,fish,2.6741486494265287,log(mg/L),"EFSA, ECOTOX"
169,C13H23ClO2,CC(C)(C)C1CCC2(CC1)OCC(CCl)O2,118135-28-7,246.7735290527344,fish,1.0508216248317612,log(mg/L),ECHA
170,C8H19N,CC(C)(C)CC(C)(C)N,107-45-9,129.2431640625,fish,3.202746442938317,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
171,C11H18Cl2N4,CC(C)(C)CC(C)(C)Nc1nc(Cl)nc(Cl)n1,72058-41-4,277.19342041015625,fish,1.833141307006824,log(mg/L),ECHA
172,C14H22O,CC(C)(C)CC(C)(C)c1ccc(O)cc1,140669,206.32388305664062,fish,-1.022525667092116,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
