id,comp_id,species,daphnia_ec50,fish_lc50,algea_ec50,units,source
1588,8535,alga,"","",59.2,mg/L,ECHA
1589,8536,"daphnia, fish",27.0,61.0,"",mg/L,"EFSA, Literature set, ECOTOX"
1590,1462,"alga, daphnia, fish",56.0,915.0,310.0,mg/L,"ECHA, ECOTOX"
1591,8537,daphnia,80.2,"","",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
1592,8538,"daphnia, fish",60.0,63.0,"",mg/L,ECHA
1593,1465,daphnia,10.417352,"","",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
1594,1480,daphnia,66.0,"","",mg/L,ECHA
1595,1481,"daphnia, fish",55.4803460212849,130.0,"",mg/L,"ECHA, ECOTOX, NITE, OASIS, EPAFHM"
1596,1483,alga,"","",72.8,mg/L,ECHA
1597,8539,fish,"",57.1,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1598,1484,fish,"",0.944,"",mg/L,ECOTOX
1599,4570,"daphnia, fish",0.049,0.187990627786263,"",mg/L,"VEGA, Literature set"
1600,8540,daphnia,1.0,"","",mg/L,ECHA
1601,4395,fish,"",49.5,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1602,8541,alga,"","",7.3,mg/L,"Literature set"
1603,8542,"alga, daphnia, fish",0.42,73.2988044950048,15.0,mg/L,"NITE, VEGA, Literature set"
1604,1467,fish,"",18.0,"",mg/L,"ECOTOX, Literature set, VEGA"
1605,1468,"daphnia, fish",10.744,3.1,"",mg/L,"Literature set, ECOTOX"
1606,1469,"alga, daphnia, fish",6.9,15.4404266950881,0.164,mg/L,"Aquatic ECETOC, VEGA, Literature set"
1607,1471,"alga, fish","",52.5,0.42,mg/L,"VEGA, Literature set"
1608,1472,fish,"",51.5809378717151,"",mg/L,"Literature set"
1609,1475,"daphnia, fish",3.704,2.55,"",mg/L,"VEGA, Literature set"
1610,1476,"alga, fish","",4.0,0.008,mg/L,"Literature set"
1611,1477,"daphnia, fish",28.0,5.9,"",mg/L,"ECHA, ECOTOX-EPA(11), Literature set, ECHA(14), VEGA"
1612,1478,"alga, daphnia, fish",50.0,7.0,0.02,mg/L,"NITE, VEGA, Literature set"
1613,8543,"alga, daphnia, fish",8.4,9.1,25.0,mg/L,ECHA
1614,8544,daphnia,100.0,"","",mg/L,ECHA
1615,8545,daphnia,55.0,"","",mg/L,ECHA
1616,8546,"daphnia, fish",31.3,19.5,"",mg/L,ECHA
1617,8547,fish,"",333.6,"",mg/L,ECHA
1618,8548,alga,"","",238.0,mg/L,ECHA
1619,8549,fish,"",12.0,"",mg/L,ECHA(10)
1620,8550,daphnia,30.0,"","",mg/L,"NITE, Literature set"
1621,1507,fish,"",0.957,"",mg/L,"ECOTOX, Literature set"
1622,4243,"alga, daphnia, fish",683.0,320.0,2900.0,mg/L,"Aquatic ECETOC, ECHA, ECOTOX"
1623,8551,daphnia,0.378,"","",mg/L,ECOTOX
1624,8552,fish,"",33.2,"",mg/L,ECHA
1625,4869,"daphnia, fish",0.29,0.795,"",mg/L,"EFSA, ECOTOX"
1626,4026,"daphnia, fish",0.848,0.46,"",mg/L,"VEGA, Literature set"
1627,8553,daphnia,223.75,"","",mg/L,ECHA
1628,8554,fish,"",5.43,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1629,8555,"alga, daphnia, fish",160.0,44.0,60.5,mg/L,"NITE, VEGA, Literature set"
1630,8556,"daphnia, fish",67.5,6.3,"",mg/L,"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
1631,8557,alga,"","",20.915,mg/L,ECHA
1632,8558,fish,"",1.8,"",mg/L,ECOTOX
1633,1511,fish,"",1.09,"",mg/L,ECOTOX
