,chemical_formula,smiles,casnum,molecular_weight,species,daphnia_EC50,units,source
172,C17H24O,CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,13171-00-1,244.3718719482422,daphnia,-0.843970070294529,log(mg/L),ECHA
173,C10H8O2,CC(=O)c1cc2ccccc2o1,1646-26-0,160.16932678222656,daphnia,3.4657359027997265,log(mg/L),ECHA
174,C10H8OS,CC(=O)c1cc2ccccc2s1,22720-75-8,176.23492431640625,daphnia,2.3978952727983707,log(mg/L),"NITE, VEGA, Literature set"
175,C9H10O,CC(=O)c1ccc(C)cc1,122-00-9,134.17510986328122,daphnia,3.4339872044851463,log(mg/L),ECHA
176,C8H6Cl2O,CC(=O)c1ccc(Cl)cc1Cl,2234-16-4,189.03863525390625,daphnia,2.0719132752590443,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set"
177,C9H7NO,CC(=O)c1ccc(C#N)cc1,1443-80-7,145.15798950195312,daphnia,3.0633909220278057,log(mg/L),Literature set
178,C12H14O,CC(=O)c1ccc2c(c1)CCCC2,774-55-0,174.2389678955078,daphnia,2.4849066497880004,log(mg/L),ECHA
179,C8H8O2,CC(=O)c1cccc(O)c1,121-71-1,136.14791870117188,daphnia,2.70805020110221,log(mg/L),ECHA
180,C9H7F3O,CC(=O)c1cccc(C(F)(F)F)c1,349-76-8,188.14649963378903,daphnia,2.3702437414678603,log(mg/L),ECHA
181,C8H7NO3,CC(=O)c1cccc([N+](=O)[O-])c1,121-89-1,165.14608764648438,daphnia,3.572345637857985,log(mg/L),ECHA
182,C12H10O,CC(=O)c1cccc2ccccc12,941-98-0,170.2071990966797,daphnia,2.468099531471619,log(mg/L),ECHA
