id,comp_id,molecule_chembl_id,species,mic,units,censoring,molecular_weight,assay_parameters,source,source_journal
5020,14464,CHEMBL3219404,"Escherichia coli",32.0,ug.mL-1,"'>'",343.34,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5021,14465,CHEMBL4531528,"Escherichia coli",64.0,ug.mL-1,"'='",524.45,"","Scientific Literature","Bioorg Med Chem"
5022,14466,CHEMBL4556398,"Escherichia coli",32.0,ug.mL-1,"'>'",782.78,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5023,14467,CHEMBL4547564,"Escherichia coli",32.0,ug.mL-1,"'='",509.44,"","Scientific Literature","Bioorg Med Chem"
5024,14468,CHEMBL4566264,"Escherichia coli",32.0,ug.mL-1,"'='",481.38,"","Scientific Literature","Bioorg Med Chem"
5025,14469,CHEMBL4522481,"Escherichia coli",32.0,ug.mL-1,"'>'",274.28,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5026,11266,CHEMBL702,"Escherichia coli",2.0,ug.mL-1,"'='",517.56,"","Scientific Literature","Antimicrob. Agents Chemother."
5027,14470,CHEMBL4451457,"Escherichia coli",64.0,ug.mL-1,"'>'",379.36,"","Scientific Literature","Eur J Med Chem"
5028,14471,CHEMBL4587345,"Escherichia coli",32.0,ug.mL-1,"'>'",870.88,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5029,14472,CHEMBL1631848,"Escherichia coli",12.5,ug.mL-1,"'='",446.89,"","Scientific Literature","Eur. J. Med. Chem."
5030,14473,CHEMBL4514595,"Escherichia coli",0.5,ug.mL-1,"'='",421.66,"","Scientific Literature","Eur J Med Chem"
5031,14474,CHEMBL4539154,"Escherichia coli",32.0,ug.mL-1,"'>'",265.28,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5032,14475,CHEMBL4569495,"Escherichia coli",64.0,ug.mL-1,"'>'",421.27,"","Scientific Literature","J Med Chem"
5033,14476,CHEMBL4461345,"Escherichia coli",32.0,ug.mL-1,"'='",892.14,"","Scientific Literature","Eur J Med Chem"
5034,14477,CHEMBL4460047,"Escherichia coli",0.25,ug.mL-1,"'='",451.48,"","Scientific Literature","J Med Chem"
5035,14478,CHEMBL4573534,"Escherichia coli",32.0,ug.mL-1,"'>'",216.63,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5036,14479,CHEMBL2234297,"Escherichia coli",32.0,ug.mL-1,"'='",283.82,"","Scientific Literature","Med Chem Res"
5037,14480,CHEMBL2234109,"Escherichia coli",32.0,ug.mL-1,"'='",281.81,"","Scientific Literature","Med Chem Res"
5038,14481,CHEMBL2238409,"Escherichia coli",50.0,ug.mL-1,"'='",348.4,"","Scientific Literature","Med Chem Res"
5039,14482,CHEMBL4471203,"Escherichia coli",128.0,ug.mL-1,"'='",922.17,"","Scientific Literature","Eur J Med Chem"
5040,14483,CHEMBL4519574,"Escherichia coli",32.0,ug.mL-1,"'>'",887.83,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5041,14484,CHEMBL2238415,"Escherichia coli",25.0,ug.mL-1,"'='",362.43,"","Scientific Literature","Med Chem Res"
5042,14485,CHEMBL1669370,"Escherichia coli",0.25,ug.mL-1,"'='",434.44,"","Scientific Literature","Bioorg. Med. Chem. Lett."
5043,14486,CHEMBL4472950,"Escherichia coli",8.0,ug.mL-1,"'>'",888.05,"","Scientific Literature","Eur J Med Chem"
5044,14487,CHEMBL4455744,"Escherichia coli",4.0,ug.mL-1,"'='",348.45,"","Scientific Literature","J Med Chem"
5045,14488,CHEMBL2235702,"Escherichia coli",18.75,ug.mL-1,"'='",394.65,"","Scientific Literature","Med Chem Res"
5046,14489,CHEMBL4541943,"Escherichia coli",32.0,ug.mL-1,"'>'",315.46,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5047,14490,CHEMBL3288231,"Escherichia coli",7.8,ug.mL-1,"'='",1039.39,"","Scientific Literature","Eur. J. Med. Chem."
5048,14491,CHEMBL3288237,"Escherichia coli",7.8,ug.mL-1,"'='",800.06,"","Scientific Literature","Eur. J. Med. Chem."
5049,14492,CHEMBL3338942,"Escherichia coli",4.0,ug.mL-1,"'='",957.07,"","Scientific Literature","Bioorg. Med. Chem. Lett."
5050,10763,CHEMBL194126,"Escherichia coli",1.0,ug.mL-1,"'='",449.55,"","Scientific Literature","Eur J Med Chem"
5051,14493,CHEMBL3331315,"Escherichia coli",0.5,ug.mL-1,"'='",516.93,"","Scientific Literature","Eur. J. Med. Chem."
5052,10473,CHEMBL174,"Escherichia coli",3.9,ug.mL-1,"'='",349.41,"","Scientific Literature","Eur J Med Chem"
5053,14494,CHEMBL2334060,"Escherichia coli",25.0,ug.mL-1,"'>'",644.59,"","Scientific Literature","J. Nat. Prod."
5054,14495,CHEMBL4520985,"Escherichia coli",8.0,ug.mL-1,"'>'",873.01,"","Scientific Literature","Eur J Med Chem"
5055,10138,CHEMBL8,"Escherichia coli",0.125,ug.mL-1,"'<'",331.35,"","Scientific Literature","Bioorg Med Chem"
5056,14496,CHEMBL4438351,"Escherichia coli",64.0,ug.mL-1,"'>'",405.5,"","Scientific Literature","Eur J Med Chem"
5057,14497,CHEMBL3216266,"Escherichia coli",8.0,ug.mL-1,"'='",660.38,"","Scientific Literature","J. Med. Chem."
5058,14498,CHEMBL4453009,"Escherichia coli",64.0,ug.mL-1,"'>'",334.37,"","Scientific Literature","Eur J Med Chem"
5059,14499,CHEMBL2059833,"Escherichia coli",0.05,ug.mL-1,"'='",444.9,"","Scientific Literature","Bioorg. Med. Chem. Lett."
5060,14500,CHEMBL4556537,"Escherichia coli",32.0,ug.mL-1,"'>'",2306.37,"","Scientific Literature","Bioorg Med Chem Lett"
5061,10880,CHEMBL529,"Escherichia coli",8.0,ug.mL-1,"'='",749.0,"","Scientific Literature","Bioorg Med Chem Lett"
5062,14501,CHEMBL4101059,"Escherichia coli",128.0,ug.mL-1,"'>'",2217.78,"","Scientific Literature","J Med Chem"
5063,14087,CHEMBL4468519,"Escherichia coli",125.0,ug.mL-1,"'>'",590.84,"","Scientific Literature","J Nat Prod"
5064,14502,CHEMBL4457967,"Escherichia coli",128.0,ug.mL-1,"'>'",880.11,"","Scientific Literature","Eur J Med Chem"
5065,14503,CHEMBL4566192,"Escherichia coli",32.0,ug.mL-1,"'>'",326.83,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5066,14504,CHEMBL4450311,"Escherichia coli",32.0,ug.mL-1,"'='",1144.47,"","Scientific Literature","J Med Chem"
5067,14505,CHEMBL4586428,"Escherichia coli",64.0,ug.mL-1,"'>'",540.45,"","Scientific Literature","Bioorg Med Chem"
5068,14506,CHEMBL4469459,"Escherichia coli",1.95,ug.mL-1,"'='",473.51,"","Scientific Literature","Eur J Med Chem"
5069,14507,CHEMBL4464836,"Escherichia coli",32.0,ug.mL-1,"'>'",701.97,"","Scientific Literature","Eur J Med Chem"
5070,14508,CHEMBL1087809,"Escherichia coli",128.0,ug.mL-1,"'>'",470.47,"","Scientific Literature","Eur. J. Med. Chem."
5071,14509,CHEMBL4441209,"Escherichia coli",400.0,ug.mL-1,"'='",196.06,"","Scientific Literature","Eur J Med Chem"
5072,14510,CHEMBL4521182,"Escherichia coli",64.0,ug.mL-1,"'>'",298.38,"","Scientific Literature","Eur J Med Chem"
5073,14129,CHEMBL1163070,"Escherichia coli",256.0,ug.mL-1,"'>'",433.4,"","Scientific Literature","J Med Chem"
