,species,smiles,MIC,units,censoring,molecular_weight,assay_parameters,source,source_journal
95,Escherichia coli,NCCCC(=O)N[C@H]1C[C@@H]2[C@H](OCc3cnnn32)[C@@H](O)[C@@H]1O,6.76849321164863,log(ug/mL),'>',311.34,,Scientific Literature,Bioorg. Med. Chem. Lett.
96,Escherichia coli,N[C@H]1C[C@@H](n2cc(CO)nn2)[C@H](O)[C@@H](O)[C@@H]1O,6.551080335043404,log(ug/mL),'>',244.25,,Scientific Literature,Bioorg. Med. Chem. Lett.
97,Escherichia coli,N[C@H]1C[C@@H](N)[C@H](OCc2cccc3ccccc23)[C@@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](OCc2ccc3ccccc3c2)[C@H](OCc2ccc3ccccc3c2)[C@H]1N,2.772588722239781,log(ug/mL),'=',743.90,,Scientific Literature,J. Med. Chem.
98,Escherichia coli,CC(C)CCOc1ccccc1-c1ccccc1OCc1cn(C[C@@H](CCCCN)NC(=O)Cc2ccccc2)nn1.Cl,3.4657359027997265,log(ug/mL),'>',606.21,,Scientific Literature,Eur J Med Chem
99,Escherichia coli,CCc1nnc(Cn2c(C)nc3ccccc32)o1,3.4657359027997265,log(ug/mL),'=',242.28,,Scientific Literature,Eur. J. Med. Chem.
100,Escherichia coli,COc1ccccc1-c1nnc(Cn2cnc3ccccc32)o1,3.4657359027997265,log(ug/mL),'=',306.33,,Scientific Literature,Eur. J. Med. Chem.
101,Escherichia coli,Clc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)cc1,3.4657359027997265,log(ug/mL),'=',310.74,,Scientific Literature,Eur. J. Med. Chem.
102,Escherichia coli,Clc1ccccc1-c1nnc(Cn2cnc3ccccc32)o1,4.852030263919617,log(ug/mL),'>',310.74,,Scientific Literature,Eur. J. Med. Chem.
103,Escherichia coli,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.8325814637483102,log(ug/mL),'=',323.13,,Scientific Literature,Bioorg. Med. Chem. Lett.
104,Escherichia coli,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ccc(N)cc4F)CC3)cc21,0.6418538861723947,log(ug/mL),'<',428.44,,Scientific Literature,Eur. J. Med. Chem.
105,Escherichia coli,COc1ccc2ncc(F)c([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4cc5c(nn4)OCCO5)CO3)c2n1,-4.8283137373023015,log(ug/mL),'>',487.49,,Scientific Literature,J. Med. Chem.
106,Escherichia coli,NCCCOc1cccc(-n2cc(-c3ccc4ccc(-c5cn(-c6cccc(OCCCN)c6)nn5)cc4c3)nn2)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,3.912023005428146,log(ug/mL),'>',788.71,,Scientific Literature,ACS Med. Chem. Lett.
